mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,label
-240.1305,58.346584,-9.5858555,10.45335,-21.68778,-5.0266185,-7.109571,-8.488428,-10.549815,-3.3457713,-8.711578,-0.6124865,-6.508335,111.4781,35.159798,17.093592,9.272488,7.9195285,6.967891,5.806295,5.089152,5.280449,4.7937727,5.4191446,5.1117177,4.3695927,hail
-241.20158,139.3058,27.32471,51.3019,31.18572,4.06802,-8.390477,6.4607844,-12.678927,-7.547163,4.7815723,7.220692,2.1645496,153.33832,81.38355,59.657715,27.049423,21.844265,23.514969,18.480305,25.004955,13.685204,10.125134,17.793695,11.526421,11.38434,hail
-161.67474,84.80136,-11.693452,34.12071,-23.098955,36.570736,13.635045,14.282884,6.2536817,13.068822,6.166516,2.1947515,6.0064945,37.008354,18.681032,10.247467,11.507668,11.592889,8.826357,8.021091,7.6976347,7.9699244,8.928015,8.214619,6.860978,7.17258,hail
-530.13654,69.73592,10.222224,18.702082,1.3081226,13.316915,1.7017956,5.4174323,2.0401945,4.819959,1.1577059,3.7333727,-0.0023762838,37.63658,19.747276,15.747951,14.762981,12.704759,9.554172,7.6186185,6.713517,6.1774673,5.586611,5.366115,4.7035694,4.574288,hail
-326.70923,19.483477,19.529217,19.025393,-11.667542,14.8379135,-2.8899765,3.6697676,4.2154346,4.2765365,-1.5364823,4.1981893,1.0884253,64.95759,15.978172,7.4776087,6.4924326,5.5132604,4.0598907,4.492908,4.4773617,3.5329392,3.6251173,3.6314223,3.5426238,3.3977866,hail
-260.38834,73.166145,11.625308,25.777481,2.1665347,21.61819,-2.9716892,9.729431,3.1654232,7.897285,0.06622637,3.3957956,-1.5092741,65.153595,26.952332,11.146966,8.20839,8.338721,6.286135,6.7776546,4.753524,5.1403775,4.7356853,4.6254473,4.263516,4.8037233,hail
-232.3417,29.365993,-22.95782,8.836264,-0.110009685,8.710758,-2.5037363,5.314141,2.1695735,7.777043,-0.9448013,4.231234,-2.6464305,71.34892,17.681318,12.2955,8.679468,7.394,5.83656,5.525168,4.9324765,5.074612,4.657427,4.279645,4.1236453,3.9640818,hail
-292.82846,37.202663,12.324887,12.017348,4.136608,5.643506,-1.8305826,9.396046,0.43110245,3.7739375,2.7247374,3.934061,-3.6543097,43.417118,26.460907,14.828181,8.04632,6.8539934,6.097294,5.7693725,5.131908,4.6329007,4.9995766,4.6015587,4.4072814,4.3320146,hail
-272.68216,121.30259,26.826374,17.284622,-9.549815,-0.29940376,-4.2866483,0.05720789,-6.468995,-0.7717516,-5.475022,-0.92150986,-5.0547824,72.682434,58.80081,18.176416,13.019653,9.384428,5.584431,6.575988,4.4646435,4.9570866,4.1612067,4.515808,3.868579,4.2048845,hail
-204.16165,67.61768,-6.848559,1.5512173,1.8979658,4.297672,3.4978633,2.316924,4.4334974,4.679785,4.0310016,3.1744792,-0.68966776,60.50156,21.738634,9.284791,8.062163,7.0335875,6.427735,6.7061424,5.7931237,6.0625386,5.559571,5.554927,5.358994,5.109084,hail
-345.01126,78.33507,10.656916,14.728879,-11.240611,7.728143,-1.861028,-2.0610938,-4.20682,-6.1331444,-5.068197,-9.699587,-4.2535863,22.70171,10.164674,5.593644,4.7857594,4.644197,4.016062,3.5970023,3.9180043,4.521691,4.3303137,4.8254995,3.715498,3.5350122,hail
-377.7233,91.830376,15.303004,11.861314,16.075233,18.637646,11.479061,16.070614,10.884175,11.909736,8.806758,6.5383677,-1.4733015,34.40473,11.448556,14.852998,8.347485,7.51126,8.069017,7.525996,7.5211806,6.0071535,6.6599617,5.89885,5.3555355,5.1034327,hail
-445.33273,52.74207,22.134026,12.519007,14.795179,8.303089,7.0461364,8.248631,4.031168,5.6548553,0.22942525,0.21566214,-0.15474159,52.29597,32.267128,19.28262,12.896413,7.9836917,6.7538157,5.4624605,5.0464325,5.24566,4.6497293,4.453602,4.0093718,3.8702707,hail
-399.4395,83.73068,20.759628,13.343498,16.707481,8.807839,2.838508,5.3902383,2.2866132,2.9294605,0.19497304,-0.30223146,-3.3063936,76.56754,34.134857,22.913343,13.799809,8.977431,6.6384063,5.9212213,4.9880195,5.099485,4.615402,4.474228,3.9601293,3.9587579,hail
